0,icao_code,1,name_eng,2,city_eng,3,country_rus
NTGA,NTGA,Anaa,Anaa,Anaa,Anaa,Франция,Франция
YARY,YARY,Arrabury,Arrabury,Arrabury,Arrabury,Австралия,Австралия
HEAR,HEAR,Al Arish International Airport,Al Arish International Airport,Al Arish,Al Arish,Египет,Египет
TVSV,TVSV,Ad-Dabbah,Ad-Dabbah,Ad-Dabbah,Ad-Dabbah,Судан,Судан
DABB,DABB,Les Salines,Les Salines,Annaba,Annaba,Алжир,Алжир
KAAF,KAAF,Municipal,Municipal,Apalachicola,Apalachicola,США,США
SSYA,SSYA,Arapoti,Arapoti,Arapoti,Arapoti,Бразилия,Бразилия
EDKA,EDKA,Aachen/Merzbruck,Aachen/Merzbruck,Aachen,Aachen,Германия,Германия
SWRA,SWRA,Arraias,Arraias,Arraias,Arraias,Бразилия,Бразилия
SMCA,SMCA,Cayana Airstrip,Cayana Airstrip,Awaradam,Awaradam,Суринам,Суринам
NGUK,NGUK,Aranuka,Aranuka,Aranuka,Aranuka,Кирибати,Кирибати
EKYT,EKYT,Aalborg,Aalborg,Aalborg,Aalborg,Дания,Дания
FAMD,FAMD,Mala Mala,Mala Mala,Mala Mala,Mala Mala,ЮАР,ЮАР
OMAL,OMAL,Al Ain,Al Ain,Al Ain,Al Ain,ОАЭ,ОАЭ
SVAN,SVAN,Anaco,Anaco,Anaco,Anaco,Венесуэла,Венесуэла
BGAG,BGAG,Andrau Airpark,Andrau Airpark,Houston, TX,Houston, TX,США,США
URKA,URKA,Vityazevo,Vityazevo,Anapa,Anapa,Россия,Россия
EKAH,EKAH,Aarhus Airport,Aarhus Airport,Aarhus,Aarhus,Дания,Дания
,,Apalapsili,Apalapsili,Apalapsili,Apalapsili,Индонезия,Индонезия
ZWAT,ZWAT,Altay,Altay,Altay,Altay,Китай,Китай
NSAU,NSAU,Asau,Asau,Asau,Asau,Самоа,Самоа
RPMA,RPMA,Allah Valley,Allah Valley,Surallah,Surallah,Филиппины,Филиппины
OPAB,OPAB,Abbottabad,Abbottabad,Abbottabad,Abbottabad,Пакистан,Пакистан
SBAX,SBAX,Araxa,Araxa,Araxa,Araxa,Бразилия,Бразилия
OYGD,OYGD,Al Ghaydah,Al Ghaydah,Al Ghaydah,Al Ghaydah,Йемен,Йемен
MGQZ,MGQZ,Ambriz,Ambriz,Ambriz,Ambriz,Ангола,Ангола
UNAA,UNAA,Abakan,Abakan,Abakan,Abakan,Россия,Россия
EGUD,EGUD,RAF Station,RAF Station,Abingdon,Abingdon,Великобритания,Великобритания
LEAB,LEAB,Los Llanos,Los Llanos,Albacete,Albacete,Испания,Испания
OIAA,OIAA,Abadan,Abadan,Abadan,Abadan,Иран,Иран
NGAB,NGAB,Abaiang,Abaiang,Abaiang,Abaiang,Кирибати,Кирибати
YABI,YABI,Abingdon,Abingdon,Abingdon,Abingdon,Австралия,Австралия
YAPH,YAPH,Alpha,Alpha,Alpha,Alpha,Австралия,Австралия
KABI,KABI,Municipal,Municipal,Abilene,Abilene,США,США
DIAP,DIAP,Felix Houphouet Boigny,Felix Houphouet Boigny,Abidjan,Abidjan,Кот-д-Ивуар,Кот-д-Ивуар
HAKD,HAKD,Kabri Dar,Kabri Dar,Kabri Dar,Kabri Dar,Эфиопия,Эфиопия
PAFM,PAFM,Ambler,Ambler,Ambler,Ambler,США,США
YBAM,YBAM,Bamaga Injinoo,Bamaga Injinoo,Bamaga, Queensland,Bamaga, Queensland,Австралия,Австралия
SMBN,SMBN,Albina,Albina,Albina,Albina,Суринам,Суринам
DIAO,DIAO,Aboisso,Aboisso,Aboisso,Aboisso,Кот-д-Ивуар,Кот-д-Ивуар
,,Atkamba,Atkamba,Atkamba,Atkamba,Папуа - Новая Гвинея,Папуа - Новая Гвинея
KABQ,KABQ,Albuquerque International,Albuquerque International,Albuquerque,Albuquerque,США,США
KABR,KABR,Municipal,Municipal,Aberdeen,Aberdeen,США,США
HEBL,HEBL,Abu Simbel,Abu Simbel,Abu Simbel,Abu Simbel,Египет,Египет
OEBA,OEBA,Al-Aqiq,Al-Aqiq,Al-Baha,Al-Baha,Саудовская Аравия,Саудовская Аравия
WATA,WATA,Atambua,Atambua,Atambua,Atambua,Индонезия,Индонезия
DNAA,DNAA,Nnamdi Azikiwe International Airport,Nnamdi Azikiwe International Airport,Abuja,Abuja,Нигерия,Нигерия
,,Abau,Abau,Abau,Abau,Папуа - Новая Гвинея,Папуа - Новая Гвинея
YMAY,YMAY,Albury,Albury,Albury,Albury,Австралия,Австралия
KABY,KABY,Dougherty County,Dougherty County,Albany,Albany,США,США
EGPD,EGPD,Dyce,Dyce,Aberdeen,Aberdeen,Великобритания,Великобритания
KACB,KACB,Antrim County,Antrim County,Bellaire,Bellaire,США,США
DGAA,DGAA,Kotoka,Kotoka,Accra,Accra,Гана,Гана
SKAD,SKAD,Acandi,Acandi,Acandi,Acandi,Колумбия,Колумбия
GCRR,GCRR,Lanzarote,Lanzarote,Arrecife,Arrecife,Испания,Испания
LSZR,LSZR,Altenrhein,Altenrhein,Altenrhein,Altenrhein,Швейцария,Швейцария
EGJA,EGJA,The Blaye,The Blaye,Alderney,Alderney,Великобритания,Великобритания
KACJ,KACJ,Anuradhapura,Anuradhapura,Anuradhapura,Anuradhapura,Шри-Ланка,Шри-Ланка
KACK,KACK,Nantucket Memorial,Nantucket Memorial,Nantucket,Nantucket,США,США
,,Aguaclara,Aguaclara,Aguaclara,Aguaclara,Колумбия,Колумбия
,,Arica,Arica,Arica,Arica,Колумбия,Колумбия
MMCC,MMCC,International,International,Ciudad Acuna,Ciudad Acuna,Мексика,Мексика
LSZD,LSZD,Ascona,Ascona,Ascona,Ascona,Швейцария,Швейцария
OITM,OITM,Sahand,Sahand,Sahand,Sahand,Иран,Иран
SKAC,SKAC,Araracuara,Araracuara,Araracuara,Araracuara,Колумбия,Колумбия
UNKS,UNKS,Achinsk,Achinsk,Achinsk,Achinsk,Россия,Россия
KACT,KACT,Municipal,Municipal,Waco,Waco,США,США
,,Achutupo,Achutupo,Achutupo,Achutupo,Панама,Панама
KACV,KACV,Arcata,Arcata,Arcata,Arcata,США,США
ZUYI,ZUYI,Xingyi,Xingyi,Xingyi,Xingyi,Китай,Китай
KACY,KACY,Atlantic City Intl,Atlantic City Intl,Atlantic City,Atlantic City,США,США
OIZB,OIZB,Zabol A/P,Zabol A/P,Zabol,Zabol,Иран,Иран
LTAF,LTAF,Adana,Adana,Adana,Adana,Турция,Турция
LTBJ,LTBJ,Adnan Menderes,Adnan Menderes,Izmir,Izmir,Турция,Турция
KADC,KADC,Andakombe,Andakombe,Andakombe,Andakombe,Папуа - Новая Гвинея,Папуа - Новая Гвинея
HAAB,HAAB,Bole International,Bole International,Addis Ababa,Addis Ababa,Эфиопия,Эфиопия
OYAA,OYAA,International,International,Aden,Aden,Йемен,Йемен
LTCP,LTCP,Adiyaman,Adiyaman,Adiyaman,Adiyaman,Турция,Турция
KADG,KADG,Lenawee County,Lenawee County,Adrian,Adrian,США,США
UEEA,UEEA,Aldan,Aldan,Aldan,Aldan,Россия,Россия
FYAR,FYAR,Arandis,Arandis,Arandis,Arandis,Намибия,Намибия
OJAM,OJAM,Marka International Airport,Marka International Airport,Amman,Amman,Иордания,Иордания
PADK,PADK,Adak Island NS,Adak Island NS,Adak Island,Adak Island,США,США
YPAD,YPAD,Adelaide International Airport,Adelaide International Airport,Adelaide,Adelaide,Австралия,Австралия
KADM,KADM,Ardmore Municipal Arpt,Ardmore Municipal Arpt,Ardmore,Ardmore,США,США
SKAN,SKAN,Andes,Andes,Andes,Andes,Колумбия,Колумбия
YAMK,YAMK,Andamooka,Andamooka,Andamooka,Andamooka,Австралия,Австралия
VCCA,VCCA,Ampara,Ampara,Ampara,Ampara,Шри-Ланка,Шри-Ланка
PADQ,PADQ,Kodiak Airport,Kodiak Airport,Kodiak,Kodiak,США,США
KPHH,KPHH,Andrews,Andrews,Andrews,Andrews,США,США
KADS,KADS,Addison Airport,Addison Airport,Dallas,Dallas,США,США
KADH,KADH,Ada,Ada,Ada,Ada,США,США
